GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
jouzujapanese,com.chasepacker.ConjugationCode,RuVerb,8,886,2,34,3,181,3,74,1,41
jouzujapanese,com.chasepacker.ConjugationCode,IrrVerb,8,1173,2,102,3,151,3,110,1,43
jouzujapanese,com.chasepacker.ConjugationCode,Word,31,1450,5,27,8,116,4,20,0,8
jouzujapanese,com.chasepacker.ConjugationCode,ConjugationType,2,315,2,40,1,77,2,39,0,3
jouzujapanese,com.chasepacker.ConjugationCode,UVerb,11,1251,3,51,4,237,4,87,1,41
jouzujapanese,com.chasepacker.ConjugationCode,NaAdjective,11,149,2,8,4,29,4,22,2,15
jouzujapanese,com.chasepacker.ConjugationCode,IAdjective,11,207,2,8,4,53,4,23,2,16
jouzujapanese,com.chasepacker,AdjectiveConjugationPractice,324,212,61,12,74,40,37,15,5,9
jouzujapanese,com.chasepacker,XMLParser,18,545,5,15,11,122,6,17,1,12
jouzujapanese,com.chasepacker,VerbConjugationPractice,445,297,68,24,101,56,42,23,5,10
